 TITLE = SWE Solver Water Surface Elevation
 VARIABLES = "X", "Y", "Z", "Zsurf","H", "U", "V", "Umag","deltaZ","Sox","Soy"
 ZONE, DATAPACKING=POINT, N=        5094,E=        9890 ,ZONETYPE=FETRIANGLE
  0.999994489145375       0.999992868300199       1.676333563777016E-004
  6.802141528918477E-005  1.809084163558933E-004  0.000000000000000E+000
 -1.869057773608963E-005 -7.832303002995778E-005
  0.404040404039715       0.000000000000000E+000  1.175802830830387E-006
   1.00005571570484        1.00005350452305       5.111129603940362E-004
  1.034085891958057E-004  5.214688817199187E-004  0.000000000000000E+000
 -1.947603561145499E-005 -1.052687821965829E-004
  0.424242424241700       0.000000000000000E+000  1.398503677368591E-006
   1.00024293389602        1.00024036602934       8.559126791044175E-004
  1.635102204386723E-004  8.713909033491253E-004  0.000000000000000E+000
 -1.244242831869223E-005 -1.239798035948610E-004
  0.444444444443686       0.000000000000000E+000  1.596865091957693E-006
   1.00052480187293        1.00052194811767       1.511687382428868E-003
